ID,Motif,Banji,Buketan,Ceplok,Encim,Kawung,LungLungan,Madura,MegaMendung,ParangRusak,Parang,SekarJagad,Truntum,Kipas,Semen,Fauna
BTK0001,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0002,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0003,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0004,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0005,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0006,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0007,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0008,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0009,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0010,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0011,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0012,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0013,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0014,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0015,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0016,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0017,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0018,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0019,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0020,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0021,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0022,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0023,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0024,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0025,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0026,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0027,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0028,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0029,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0030,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0031,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0032,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0033,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0034,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0035,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0036,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0037,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0038,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0039,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0040,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0041,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0042,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0043,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0044,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0045,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0046,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0047,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0048,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0049,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0050,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0051,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0052,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0053,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0054,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0055,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0056,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0057,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0058,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0059,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0060,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0061,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0062,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0063,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0064,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0065,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0066,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0067,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0068,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0069,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0070,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0071,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0072,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0073,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0074,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0075,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0076,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0077,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0078,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0079,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0080,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0081,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0082,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0083,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0084,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0085,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0086,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0087,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0088,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0089,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0090,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0091,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0092,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0093,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0094,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0095,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0096,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0097,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0098,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0099,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0100,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0101,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0102,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0103,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0104,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0105,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0106,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0107,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0108,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0109,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0110,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0111,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0112,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0113,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0114,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0115,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0116,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0117,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0118,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0119,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0120,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0121,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0122,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0123,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0124,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0125,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0126,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0127,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0128,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0129,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0130,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0131,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0132,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0133,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0134,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0135,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0136,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0137,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0138,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0139,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0140,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0141,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0142,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0143,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0144,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0145,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0146,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0147,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0148,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0149,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0150,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0151,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0152,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0153,['Banji'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0154,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0155,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0156,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0157,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0158,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0159,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0160,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0161,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0162,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0163,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0164,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0165,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0166,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0167,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0168,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0169,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0170,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0171,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0172,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0173,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0174,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0175,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0176,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0177,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0178,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0179,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0180,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0181,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0182,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0183,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0184,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0185,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0186,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0187,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0188,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0189,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0190,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0191,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0192,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0193,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0194,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0195,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0196,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0197,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0198,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0199,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0200,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0201,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0202,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0203,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0204,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0205,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0206,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0207,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0208,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0209,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0210,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0211,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0212,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0213,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0214,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0215,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0216,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0217,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0218,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0219,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0220,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0221,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0222,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0223,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0224,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0225,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0226,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0227,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0228,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTK0229,['Buketan'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
